[21:15:36](info)+ |=user> (null) |=info> db connection
[21:15:36](info)+ |=user> (null) |=info> db connection
[21:15:38](info)+ |=user> (null) |=get> /login |=info> sent
[21:15:42](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:1
[21:15:42](info)+ |=user> 1(admin) |=get> / |=info> sent
[21:15:43](info)+ |=user> 1(admin) |=get> /users |=info> sent
[21:15:48](info)+ |=user> 1(admin) |=get> / |=info> sent
[21:15:50](info)+ |=user> 1(admin) |=get> /add-user |=info> sent
[21:16:10](info)+ |=user> 1(admin) |=post> /add-user |=info> submitted successfully
[21:16:10](info)+ |=user> 1(admin) |=get> /user/II10000011 |=info> sent
[21:16:17](info)+ |=user> 1(admin) |=get> / |=info> sent
[21:16:18](info)+ |=user> 1(admin) |=get> /users |=info> sent
[21:16:21](info)+ |=user> 1(admin) |=get> / |=info> sent
[21:16:24](info)+ |=user> (null) |=get> /logout |=info> sent
[21:16:24](info)+ |=user> (null) |=get> /login |=info> sent
[21:16:38](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:6
[21:16:38](info)+ |=user> 6(teacher) |=get> / |=info> sent
[21:16:40](info)+ |=user> 6(teacher) |=get> /question-papers |=info> sent
[21:16:44](info)+ |=user> 6(teacher) |=get> /question-paper/gfggsgsggsgsdgsgs |=info> sent
[21:16:48](info)+ |=user> 6(teacher) |=get> /question-papers |=info> sent
[21:16:50](info)+ |=user> 6(teacher) |=get> /question-paper/hilapila-geela-eeeelllaa |=info> sent
[21:16:53](info)+ |=user> 6(teacher) |=post> /edit-question-paper |=info> updated
[21:16:54](info)+ |=user> 6(teacher) |=get> /question-paper/hilapila-geela-eeeelllaa |=info> sent
[21:16:55](info)+ |=user> 6(teacher) |=post> /edit-question-paper |=info> updated
[21:16:55](info)+ |=user> 6(teacher) |=get> /question-paper/hilapila-geela-eeeelllaa |=info> sent
[21:16:57](info)+ |=user> 6(teacher) |=post> /edit-question-paper |=info> updated
[21:16:57](info)+ |=user> 6(teacher) |=get> /question-paper/hilapila-geela-eeeelllaa |=info> sent
