[18:21:23](info)+ |=user> 14(student) |=post> /submit-exam |=info> submitted successfully
[18:21:23](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:21:26](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:21:28](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:21:35](info)+ |=user> 14(student) |=get> /download/answer-paper/cmsa-cc9-2022-ANS-II10000014 |=info> downloaded
[18:21:48](info)+ |=user> 14(student) |=get> / |=info> sent
[18:21:50](info)+ |=user> (null) |=get> /logout |=info> sent
[18:21:50](info)+ |=user> (null) |=get> /login |=info> sent
[18:22:06](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:15
[18:22:06](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:22:09](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:22:12](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc9-2022 |=info> sent
[18:22:27](info)+ |=user> 15(teacher) |=post> /edit-question-paper |=info> updated
[18:22:27](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc9-2022 |=info> sent
[18:22:51](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:22:52](info)+ |=user> 15(teacher) |=get> /students |=info> sent
[18:22:55](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:22:56](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:22:57](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc9-2022 |=info> sent
[18:23:00](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:23:07](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc9-2022 |=info> sent
[18:23:13](info)+ |=user> 15(teacher) |=get> /answer-paper/cmsa-cc9-2022-ANS-II10000014 |=info> sent
[18:23:19](info)+ |=user> 15(teacher) |=get> /download/answer-paper/cmsa-cc9-2022-ANS-II10000014 |=info> downloaded
[18:23:47](info)+ |=user> 15(teacher) |=post> /edit-answer-paper |=info> updated
[18:23:47](info)+ |=user> 15(teacher) |=get> /answer-paper/cmsa-cc9-2022-ANS-II10000014 |=info> sent
[18:23:52](info)+ |=user> 15(teacher) |=get> /download/answer-paper/cmsa-cc9-2022-ANS-II10000014 |=info> downloaded
[18:24:06](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc9-2022 |=info> sent
[18:24:22](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:24:23](info)+ |=user> (null) |=get> /logout |=info> sent
[18:24:23](info)+ |=user> (null) |=get> /login |=info> sent
[18:24:30](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:14
[18:24:30](info)+ |=user> 14(student) |=get> / |=info> sent
[18:24:32](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:24:35](info)+ |=user> 14(student) |=get> / |=info> sent
[18:24:37](info)+ |=user> 14(student) |=get> /results |=info> sent
[18:25:17](info)+ |=user> 14(student) |=get> / |=info> sent
[18:25:32](info)+ |=user> 14(student) |=get> / |=info> sent
[18:26:07](info)+ |=user> 14(student) |=get> / |=info> sent
[18:26:13](info)+ |=user> 14(student) |=get> / |=info> sent
[18:26:15](info)+ |=user> (null) |=get> /logout |=info> sent
[18:26:15](info)+ |=user> (null) |=get> /login |=info> sent
[18:26:32](info)+ |=user> (null) |=get> / |=info> permission denied
[18:26:32](info)+ |=user> (null) |=get> /login |=info> sent
[18:26:34](info)+ |=user> (null) |=get> /login |=info> sent
[18:26:39](info)+ |=user> (null) |=get> /results |=info> permission denied
[18:26:39](info)+ |=user> (null) |=get> / |=info> permission denied
[18:26:39](info)+ |=user> (null) |=get> /login |=info> sent
[18:26:41](info)+ |=user> (null) |=get> /login |=info> sent
[18:27:13](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:14
[18:27:13](info)+ |=user> 14(student) |=get> / |=info> sent
[18:27:14](info)+ |=user> 14(student) |=get> /results |=info> sent
[18:27:26](info)+ |=user> 14(student) |=get> / |=info> sent
[18:27:41](info)+ |=user> (null) |=get> /logout |=info> sent
[18:27:42](info)+ |=user> (null) |=get> /login |=info> sent
[18:28:59](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:1
[18:28:59](info)+ |=user> 1(admin) |=get> / |=info> sent
[18:29:08](info)+ |=user> 1(admin) |=get> /users |=info> sent
[18:29:21](info)+ |=user> 1(admin) |=get> / |=info> sent
[18:29:22](info)+ |=user> 1(admin) |=get> /add-user |=info> sent
[18:29:33](info)+ |=user> 1(admin) |=get> /add-user |=info> sent
[18:29:58](info)+ |=user> (null) |=get> /logout |=info> sent
[18:29:58](info)+ |=user> (null) |=get> /login |=info> sent
[18:30:05](info)+ |=user> (null) |=post> /login |=info> login failed, userid:1
[18:30:05](info)+ |=user> (null) |=get> /login |=info> sent
[18:30:14](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:1
[18:30:14](info)+ |=user> 1(admin) |=get> / |=info> sent
[18:30:16](info)+ |=user> 1(admin) |=get> /users |=info> sent
[18:30:19](info)+ |=user> 1(admin) |=get> /user/II10000014 |=info> sent
[18:30:45](info)+ |=user> 1(admin) |=get> /user/II10000014 |=info> sent
[18:30:52](info)+ |=user> 1(admin) |=get> /user/II10000014 |=info> sent
[18:31:06](info)+ |=user> 1(admin) |=post> /edit-user |=info> updated
[18:31:06](info)+ |=user> 1(admin) |=get> /user/II10000014 |=info> sent
[18:31:08](info)+ |=user> 1(admin) |=get> / |=info> sent
[18:31:10](info)+ |=user> (null) |=get> /logout |=info> sent
[18:31:10](info)+ |=user> (null) |=get> /login |=info> sent
